Time Stamp,ID,Extended,Dir,Bus,DLC,D0,D1,D2,D3,D4,D5,D6,D7
177,153,FALSE,Rx,0,7,65,8,DC,7,80,DC,C7,
179,BF,FALSE,Rx,0,5,88,8,FF,FF,C0,,,
181,B5,FALSE,Rx,0,8,D6,6,80,0,8,30,10,52
183,B6,FALSE,Rx,0,5,3,3,80,0,C8,,,
185,AA,FALSE,Rx,0,8,AF,1B,0,0,48,0D,80,14
190,1B5,FALSE,Rx,0,7,C8,FF,10,3,0A,FF,FF,
191,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
192,A8,FALSE,Rx,0,8,96,EC,0,E0,0,0F,0F,2
194,AA,FALSE,Rx,0,8,CA,2C,0,0,52,0D,80,14
196,B5,FALSE,Rx,0,8,D7,7,80,0,8,30,10,52
198,130,FALSE,Rx,0,5,45,42,A1,8F,B4,,,
200,153,FALSE,Rx,0,7,66,9,DC,7,80,DC,C7,
202,B6,FALSE,Rx,0,5,4,4,80,0,C8,,,
203,A8,FALSE,Rx,0,8,97,ED,0,E0,0,0F,0F,2
205,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
208,B5,FALSE,Rx,0,8,D8,8,80,0,8,30,10,52
210,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
212,A8,FALSE,Rx,0,8,78,DE,0,D0,0,0F,0F,2
214,AA,FALSE,Rx,0,8,CC,2E,0,0,52,0D,80,14
216,150,FALSE,Rx,0,8,CF,0A,93,0,0,0,0,E0
218,1B4,FALSE,Rx,0,8,0,D0,E0,F2,4,32,FE,8F
220,153,FALSE,Rx,0,7,67,0A,DC,7,80,DC,C7,
222,B6,FALSE,Rx,0,5,5,5,80,0,C8,,,
224,A9,FALSE,Rx,0,8,C0,7,AC,8F,0F,E4,DF,0
226,2B2,FALSE,Rx,0,8,0,0,0,0,20,0,0,4
230,7EC,FALSE,Rx,0,8,3,41,0D,0,AA,AA,AA,AA
232,B5,FALSE,Rx,0,8,DA,0A,80,0,8,30,10,52
234,BA,FALSE,Rx,0,8,3,FF,3F,0,0,6F,82,EF
236,1A2,FALSE,Rx,0,8,CA,19,0,2F,D0,7,C0,4F
238,153,FALSE,Rx,0,7,68,0B,DC,7,80,DC,C7,
240,BF,FALSE,Rx,0,5,8B,0B,FF,FF,C0,,,
242,B6,FALSE,Rx,0,5,6,6,80,0,C8,,,
243,A8,FALSE,Rx,0,8,8C,E2,0,E0,0,0F,0F,2
245,B5,FALSE,Rx,0,8,DB,0B,80,0,8,30,10,52
248,15C,FALSE,Rx,0,8,FB,F9,FF,FF,FF,FF,A4,FF
250,BA,FALSE,Rx,0,8,3,FF,3F,0,0,70,83,EF
252,1A2,FALSE,Rx,0,8,B7,19,0,3F,D0,7,C0,4C
254,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
256,150,FALSE,Rx,0,8,D1,0C,93,0,0,0,0,E0
258,B5,FALSE,Rx,0,8,DC,0C,80,0,8,30,10,52
260,153,FALSE,Rx,0,7,69,0C,DC,7,80,DC,C7,
262,B6,FALSE,Rx,0,5,7,7,80,0,C8,,,
264,A9,FALSE,Rx,0,8,D2,9,AC,8F,0F,E4,EF,0
267,B5,FALSE,Rx,0,8,DD,0D,80,0,8,30,10,52
268,BA,FALSE,Rx,0,8,3,FF,3F,0,0,71,84,EF
272,1A2,FALSE,Rx,0,8,BF,19,0,4F,D0,7,C0,64
274,A8,FALSE,Rx,0,8,6F,D5,0,D0,0,0F,0F,2
276,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
278,153,FALSE,Rx,0,7,6A,0D,DC,7,80,DC,C7,
280,BF,FALSE,Rx,0,5,8D,0D,FF,FF,C0,,,
282,B5,FALSE,Rx,0,8,DE,0E,80,0,8,30,10,52
284,B6,FALSE,Rx,0,5,8,8,80,0,C8,,,
285,AC,FALSE,Rx,0,8,A2,FA,FF,FF,0,7D,0,7D
287,BA,FALSE,Rx,0,8,3,FF,3F,0,0,72,85,EF
290,1A2,FALSE,Rx,0,8,B6,19,0,5F,D0,7,C0,6B
292,7DF,FALSE,Rx,0,8,2,1,10,0,0,0,0,0
294,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
296,150,FALSE,Rx,0,8,D3,0E,93,0,0,0,0,E0
298,193,FALSE,Rx,0,8,D9,FE,FC,1,F8,8,0,0
300,130,FALSE,Rx,0,5,45,42,A1,8F,C5,,,
302,B6,FALSE,Rx,0,5,9,9,80,0,C8,,,
304,A8,FALSE,Rx,0,8,F2,18,1,10,1,0F,0F,2
306,1A0,FALSE,Rx,0,8,0,80,0,F0,FF,9,90,AC
308,B5,FALSE,Rx,0,8,D1,1,80,0,8,30,10,52
310,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
313,A8,FALSE,Rx,0,8,B3,F9,0,F0,0,0F,0F,2
315,AA,FALSE,Rx,0,8,AF,29,0,0,3A,0D,80,14
317,150,FALSE,Rx,0,8,C5,0,93,0,0,0,0,E0
319,153,FALSE,Rx,0,7,5D,0,DC,7,80,DC,C7,
322,B6,FALSE,Rx,0,5,0A,0A,80,0,C8,,,
323,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
325,AC,FALSE,Rx,0,8,A4,FC,FF,FF,0,7D,0,7D
327,BA,FALSE,Rx,0,8,3,FF,3F,0,0,74,87,EF
330,B5,FALSE,Rx,0,8,D3,3,80,0,8,30,10,52
332,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
334,194,FALSE,Rx,0,4,F5,F8,0,FC,,,,
335,150,FALSE,Rx,0,8,C6,1,93,0,0,0,0,E0
337,153,FALSE,Rx,0,7,5E,1,DC,7,80,DC,C7,
339,BF,FALSE,Rx,0,5,81,1,FF,FF,C0,,,
341,B6,FALSE,Rx,0,5,0B,0B,80,0,C8,,,
343,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
345,AA,FALSE,Rx,0,8,B6,2C,0,0,3E,0D,80,14
347,2B2,FALSE,Rx,0,8,0,0,0,0,20,0,0,4
350,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
351,A8,FALSE,Rx,0,8,B7,FD,0,F0,0,0F,0F,2
353,AA,FALSE,Rx,0,8,B7,2D,0,0,3E,0D,80,14
356,150,FALSE,Rx,0,8,C7,2,93,0,0,0,0,E0
358,B5,FALSE,Rx,0,8,D5,5,80,0,8,30,10,52
361,153,FALSE,Rx,0,7,5F,2,DC,7,80,DC,C7,
363,B6,FALSE,Rx,0,5,0C,0C,80,0,C8,,,
364,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
366,19E,FALSE,Rx,0,8,0,E0,9F,FC,FF,0,0,1D
368,B5,FALSE,Rx,0,8,D6,6,80,0,8,30,10,52
371,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
372,A8,FALSE,Rx,0,8,AA,F0,0,F0,0,0F,0F,2
375,AA,FALSE,Rx,0,8,B6,20,0,0,4A,0D,80,14
377,150,FALSE,Rx,0,8,C8,3,93,0,0,0,0,E0
379,153,FALSE,Rx,0,7,60,3,DC,7,80,DC,C7,
381,B5,FALSE,Rx,0,8,D7,7,80,0,8,30,10,52
383,BA,FALSE,Rx,0,8,3,FF,3F,0,0,77,8A,EF
385,AC,FALSE,Rx,0,8,98,F0,FF,FF,0,7D,0,7D
390,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
391,A8,FALSE,Rx,0,8,AC,F2,0,F0,0,0F,0F,2
392,AA,FALSE,Rx,0,8,B8,22,0,0,4A,0D,80,14
394,B4,FALSE,Rx,0,8,26,1,0,0,7D,0,F0,2
396,150,FALSE,Rx,0,8,C9,4,93,0,0,0,0,E0
399,130,FALSE,Rx,0,5,45,42,A1,8F,D6,,,
401,153,FALSE,Rx,0,7,61,4,DC,7,80,DC,C7,
403,1A2,FALSE,Rx,0,8,95,19,0,BF,D0,7,C0,AA
405,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
407,AC,FALSE,Rx,0,8,99,F1,FF,FF,0,7D,0,7D
409,B5,FALSE,Rx,0,8,D9,9,80,0,8,30,10,52
411,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
413,A8,FALSE,Rx,0,8,8E,E4,0,E0,0,0F,0F,2
415,1D0,FALSE,Rx,0,8,74,67,6C,C9,E2,24,3D,AA
417,1B4,FALSE,Rx,0,8,0,D0,E0,F4,4,32,FE,91
420,153,FALSE,Rx,0,7,62,5,DC,7,80,DC,C7,
422,1A2,FALSE,Rx,0,8,96,19,0,CF,D0,7,C0,BB
424,B6,FALSE,Rx,0,5,FF,0,80,0,C8,,,
425,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
429,7EC,FALSE,Rx,0,8,4,41,0C,0D,40,AA,AA,AA
430,B5,FALSE,Rx,0,8,DB,0B,80,0,8,30,10,52
432,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
434,7.00E+08,FALSE,Rx,0,8,4,41,0C,0D,40,AA,AA,AA
436,150,FALSE,Rx,0,8,CB,6,93,0,0,0,0,E0
438,BA,FALSE,Rx,0,8,3,FF,3F,0,0,7A,8D,EF
441,153,FALSE,Rx,0,7,63,6,DC,7,80,DC,C7,
443,B6,FALSE,Rx,0,5,0,1,80,0,C8,,,
445,AA,FALSE,Rx,0,8,95,27,0,0,22,0D,80,14
447,4A1,FALSE,Rx,0,8,29,42,FC,1,FF,FF,FF,FF
451,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
451,A8,FALSE,Rx,0,8,B2,F8,0,F0,0,0F,0F,2
453,AA,FALSE,Rx,0,8,96,28,0,0,22,0D,80,14
456,150,FALSE,Rx,0,8,CC,7,93,0,0,0,0,E0
458,B5,FALSE,Rx,0,8,DD,0D,80,0,8,30,10,52
460,153,FALSE,Rx,0,7,64,7,DC,7,80,DC,C7,
462,B6,FALSE,Rx,0,5,2,2,80,0,C8,,,
464,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
466,19E,FALSE,Rx,0,8,0,E0,AF,FC,FF,0,0,2D
468,B5,FALSE,Rx,0,8,DF,0E,80,0,8,30,11,52
470,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
472,A8,FALSE,Rx,0,8,B4,FA,0,F0,0,0F,0F,2
474,AA,FALSE,Rx,0,8,A8,3A,0,0,22,0D,80,14
476,150,FALSE,Rx,0,8,CD,8,93,0,0,0,0,E0
478,BF,FALSE,Rx,0,5,88,8,FF,FF,C0,,,
480,153,FALSE,Rx,0,7,65,8,DC,7,80,DC,C7,
482,B5,FALSE,Rx,0,8,D1,0,80,0,8,30,11,52
485,A9,FALSE,Rx,0,8,9D,5,AC,7F,0F,E3,CF,0
