Time Stamp,ID,Extended,Dir,Bus,DLC,D0,D1,D2,D3,D4,D5,D6,D7
182,150,FALSE,Rx,0,8,C9,4,93,0,0,0,0,E0
184,153,FALSE,Rx,0,7,5D,4,DA,7,80,DA,C7,
186,BF,FALSE,Rx,0,5,84,4,FF,FF,C0,,,
187,A8,FALSE,Rx,0,8,36,89,1,81,1,0F,0F,62
190,B6,FALSE,Rx,0,5,2,2,80,0,C8,,,
191,19E,FALSE,Rx,0,8,0,E0,CF,FC,FF,41,9,97
193,B5,FALSE,Rx,0,8,0C,0A,80,0,8,30,20,73
196,A8,FALSE,Rx,0,8,37,8A,1,81,1,0F,0F,62
198,AA,FALSE,Rx,0,8,90,7A,1,0,C8,0D,80,14
200,C4,FALSE,Rx,0,7,4E,8,FC,E4,0,FF,F1,
202,150,FALSE,Rx,0,8,CA,5,93,0,0,0,0,E0
204,B5,FALSE,Rx,0,8,0D,0B,80,0,8,30,20,73
206,153,FALSE,Rx,0,7,5E,5,DA,7,80,DA,C7,
209,A8,FALSE,Rx,0,8,38,8B,1,81,1,0F,0F,62
211,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
215,B5,FALSE,Rx,0,8,0E,0C,80,0,8,30,20,73
216,A8,FALSE,Rx,0,8,39,8C,1,81,1,0F,0F,62
218,AA,FALSE,Rx,0,8,92,7C,1,0,C8,0D,80,14
220,480,FALSE,Rx,0,8,12,42,FE,1,FF,FF,FF,FF
222,150,FALSE,Rx,0,8,CB,6,93,0,0,0,0,E0
224,130,FALSE,Rx,0,5,45,42,21,8F,45,,,
226,153,FALSE,Rx,0,7,5F,6,DA,7,80,DA,C7,
228,A8,FALSE,Rx,0,8,3A,8D,1,81,1,0F,0F,62
230,B6,FALSE,Rx,0,5,4,4,80,0,C8,,,
232,1A0,FALSE,Rx,0,8,0,80,0,50,FF,0,40,B2
234,1B4,FALSE,Rx,0,8,0,D0,E0,FA,0,30,FC,8F
236,A8,FALSE,Rx,0,8,3B,8E,1,81,1,0F,0F,62
238,AA,FALSE,Rx,0,8,90,8E,1,0,B4,0D,80,14
240,C4,FALSE,Rx,0,7,4B,8,FC,C8,FF,FF,F1,
242,150,FALSE,Rx,0,8,CC,7,93,0,0,0,0,E0
245,153,FALSE,Rx,0,7,60,7,DA,7,80,DA,C7,
247,BF,FALSE,Rx,0,5,87,7,FF,FF,C0,,,
248,A9,FALSE,Rx,0,8,FA,7,B3,EF,0E,17,80,1
251,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
254,B5,FALSE,Rx,0,8,2,0,80,0,8,30,20,73
256,A8,FALSE,Rx,0,8,2E,81,1,81,1,0F,0F,62
258,AA,FALSE,Rx,0,8,79,81,1,0,AA,0D,80,14
260,B4,FALSE,Rx,0,8,2D,8,0,0,7D,0,F0,2
262,150,FALSE,Rx,0,8,CD,8,93,0,0,0,0,E0
264,153,FALSE,Rx,0,7,61,8,DA,7,80,DA,C7,
266,BF,FALSE,Rx,0,5,88,8,FF,FF,C0,,,
268,B5,FALSE,Rx,0,8,3,1,80,0,8,30,20,73
270,B6,FALSE,Rx,0,5,6,6,80,0,C8,,,
272,19E,FALSE,Rx,0,8,0,E0,CF,FC,FF,41,3,91
275,A8,FALSE,Rx,0,8,30,83,1,81,1,0F,0F,62
276,AA,FALSE,Rx,0,8,7B,83,1,0,AA,0D,80,14
278,B4,FALSE,Rx,0,8,2E,9,0,0,7D,0,F0,2
280,C4,FALSE,Rx,0,7,4B,8,FC,0,0,FF,F1,
282,150,FALSE,Rx,0,8,CE,9,93,0,0,0,0,E0
285,153,FALSE,Rx,0,7,62,9,DA,7,80,DA,C7,
287,BF,FALSE,Rx,0,5,89,9,FF,FF,C0,,,
288,AA,FALSE,Rx,0,8,8C,94,1,0,AA,0D,80,14
290,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
294,B5,FALSE,Rx,0,8,4,3,80,0,8,30,1F,73
296,A8,FALSE,Rx,0,8,32,85,1,81,1,0F,0F,62
298,AA,FALSE,Rx,0,8,9D,95,1,0,BA,0D,80,14
300,2F3,FALSE,Rx,0,3,4,FC,F6,,,,,
301,150,FALSE,Rx,0,8,CF,0A,93,0,0,0,0,E0
304,B5,FALSE,Rx,0,8,8,4,80,0,8,30,22,73
306,BA,FALSE,Rx,0,8,5,FF,3F,0,0,57,88,CF
308,A8,FALSE,Rx,0,8,33,86,1,81,1,0F,0F,62
310,AC,FALSE,Rx,0,8,A2,FA,FF,FF,0,7D,0,7D
312,2B2,FALSE,Rx,0,8,1,1,2,2,10,0,0,4
314,B5,FALSE,Rx,0,8,9,5,80,0,8,30,22,73
316,A8,FALSE,Rx,0,8,14,77,1,71,1,0F,0F,62
319,AA,FALSE,Rx,0,8,9F,97,1,0,BA,0D,80,14
321,150,FALSE,Rx,0,8,D0,0B,93,0,0,0,0,E0
323,D5,FALSE,Rx,0,6,36,0B,64,FF,FF,F0,,
325,1A2,FALSE,Rx,0,8,F6,17,0,9F,D0,7,C0,E9
327,A8,FALSE,Rx,0,8,15,78,1,71,1,0F,0F,62
329,AA,FALSE,Rx,0,8,92,98,1,0,AC,0D,80,14
331,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
333,1B4,FALSE,Rx,0,8,0,D0,E0,FB,0,30,FC,90
337,A8,FALSE,Rx,0,8,16,79,1,71,1,0F,0F,62
339,AA,FALSE,Rx,0,8,83,89,1,0,AC,0D,80,14
341,C4,FALSE,Rx,0,7,4B,8,FC,0,0,FF,F1,
343,150,FALSE,Rx,0,8,D1,0C,93,0,0,0,0,E0
345,153,FALSE,Rx,0,7,65,0C,DA,7,80,DA,C7,
347,BF,FALSE,Rx,0,5,8C,0C,FF,FF,C0,,,
349,A9,FALSE,Rx,0,8,DD,0C,B2,DF,0E,16,70,1
351,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
353,B5,FALSE,Rx,0,8,10,8,80,0,8,30,26,73
355,A8,FALSE,Rx,0,8,B7,7B,1,71,1,0F,0F,2
357,AA,FALSE,Rx,0,8,95,9B,1,0,AC,0D,80,14
359,B4,FALSE,Rx,0,8,32,0D,0,0,7D,0,F0,2
362,BA,FALSE,Rx,0,8,5,FF,3F,0,0,5A,8B,CF
364,153,FALSE,Rx,0,7,66,0D,DA,7,80,DA,C7,
366,BF,FALSE,Rx,0,5,8D,0D,FF,FF,C0,,,
367,B5,FALSE,Rx,0,8,0D,9,80,0,8,30,22,73
370,15C,FALSE,Rx,0,8,F5,F3,FF,FF,FF,FF,A4,FF
372,19E,FALSE,Rx,0,8,0,E0,DF,FC,FF,0,0,5D
374,1D2,FALSE,Rx,0,6,78,0F,FF,0C,F0,FF,,
376,A8,FALSE,Rx,0,8,F8,9D,1,90,1,0F,0F,2
379,AA,FALSE,Rx,0,8,81,9D,1,0,96,0D,80,14
381,C4,FALSE,Rx,0,7,49,8,FC,0,0,FF,F1,
383,150,FALSE,Rx,0,8,D3,0E,93,0,0,0,0,E0
385,153,FALSE,Rx,0,7,67,0E,DA,7,80,DA,C7,
387,BF,FALSE,Rx,0,5,8E,0E,FF,FF,C0,,,
389,A8,FALSE,Rx,0,8,1A,AE,1,A0,1,0F,0F,2
391,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
